INSTNM,X,Y,CITY,STATE,INSTNM-2,Degree,Rank,LON,LAT
University of Michigan-Ann Arbor,-83.74277362,42.27592913,Ann Arbor,MI,University of Michigan-Ann Arbor,Business,10,-83.74277362,42.27592913
Dartmouth College,-72.28995008,43.70412388,Hanover,NH,Dartmouth College,Business,12,-72.28995008,43.70412388
New York University,-73.99726545,40.72946026,New York,NY,New York University,Business,12,-73.99726545,40.72946026
University of Virginia-Main Campus,-78.5034307,38.03567256,Charlottesville,VA,University of Virginia-Main Campus,Business,12,-78.5034307,38.03567256
Cornell University,-76.48308636,42.44720849,Ithaca,NY,Cornell University,Business,15,-76.48308636,42.44720849
University of California-Los Angeles,-118.4439132,34.06889685,Los Angeles,CA,University of California-Los Angeles,Business,16,-118.4439132,34.06889685
Carnegie Mellon University,-79.9429173,40.44462397,Pittsburgh,PA,Carnegie Mellon University,Business,17,-79.9429173,40.44462397
University of Southern California,-118.2841812,34.02128585,Los Angeles,CA,University of Southern California,Business,17,-118.2841812,34.02128585
University of North Carolina at Chapel Hill,-79.05097174,35.91177609,Chapel Hill,NC,University of North Carolina at Chapel Hill,Business,19,-79.05097174,35.91177609
The University of Texas at Austin,-97.73929863,30.28609522,NULL,NULL,The University of Texas at Austin,Business,19,-97.73929863,30.28609522
Harvard University,-71.11831361,42.37447967,Cambridge,MA,Harvard University,Education,1,-71.11831361,42.37447967
University of Pennsylvania,-75.19391178,39.95093706,Philadelphia,PA,University of Pennsylvania,Education,2,-75.19391178,39.95093706
Stanford University,-122.1644471,37.42953693,Stanford,CA,Stanford University,Education,3,-122.1644471,37.42953693
University of California-Los Angeles,-118.4439132,34.06889685,Los Angeles,CA,University of California-Los Angeles,Education,3,-118.4439132,34.06889685
University of Wisconsin-Madison,-89.4053624,43.07386595,Madison,WI,University of Wisconsin-Madison,Education,3,-89.4053624,43.07386595
Vanderbilt University,-86.80337404,36.14659683,Nashville,TN,Vanderbilt University,Education,6,-86.80337404,36.14659683
Johns Hopkins University,-76.62159719,39.32898489,Baltimore,MD,Johns Hopkins University,Education,7,-76.62159719,39.32898489
New York University,-73.99726545,40.72946026,New York,NY,New York University,Education,7,-73.99726545,40.72946026
Columbia University in the City of New York,-73.96188644,40.80829428,New York,NY,Columbia University in the City of New York,Education,7,-73.96188644,40.80829428
Northwestern University,-87.67986378,42.05036388,Evanston,IL,Northwestern University,Education,10,-87.67986378,42.05036388
University of Michigan-Ann Arbor,-83.74277362,42.27592913,Ann Arbor,MI,University of Michigan-Ann Arbor,Education,11,-83.74277362,42.27592913
University of Southern California,-118.2841812,34.02128585,Los Angeles,CA,University of Southern California,Education,12,-118.2841812,34.02128585
The University of Texas at Austin,-97.73929863,30.28609522,Austin,TX,The University of Texas at Austin,Education,13,-97.73929863,30.28609522
University of Oregon,-123.0758063,44.04515134,Eugene,OR,University of Oregon,Education,14,-123.0758063,44.04515134
